,index,canonicalUri,category,categoryUri,publishDate,title,uid
17,17,https://www.lionsgate.com/franchises/the-hunger-games,,,2018-10-28 17:15:00,The Hunger Games Franchise,00000166-bc5b-d9e0-a7fe-fffb944b0001
18,18,https://www.lionsgate.com/franchises/saw,,,2018-10-29 17:42:00,Saw Franchise,00000166-c1c6-d8fa-ab6e-ebf747790001
19,19,https://www.lionsgate.com/franchises/the-twilight-saga,,,2018-10-29 17:45:00,The Twilight Saga,00000166-c1c7-d8fa-ab6e-ebf742050001
20,20,https://www.lionsgate.com/franchises/the-divergent-series,,,2018-10-29 20:41:00,The Divergent Series,00000166-c269-d448-a1f7-e369e9070001
21,21,https://www.lionsgate.com/franchises/now-you-see-me,,,2018-10-29 17:40:00,Now You See Me Franchise ,00000166-c1c4-da17-a5f6-d9fcc76c0001
22,22,https://www.lionsgate.com/movies/la-la-land,Movies,https://www.lionsgate.com/movies,2018-08-16 02:06:00,La La Land,00000165-4157-d038-abed-e9d7ea490000
23,23,https://www.lionsgate.com/movies/lady-bird,Movies,https://www.lionsgate.com/movies,2018-08-16 02:07:00,Lady Bird,00000165-4158-d038-abed-e9d936600000
24,24,https://www.lionsgate.com/movies/ex-machina,Movies,https://www.lionsgate.com/movies,2018-08-16 01:59:00,Ex Machina,00000165-4151-d038-abed-e9d144500000
25,25,https://www.lionsgate.com/movies/the-expendables,Movies,https://www.lionsgate.com/movies,2018-09-10 20:54:00,The Expendables,00000165-c61e-d3cf-a7f5-ffdf8c500000
26,26,https://www.lionsgate.com/movies/escape-plan/,Movies,https://www.lionsgate.com/movies,2018-08-27 19:49:00,Escape Plan,00000165-7dca-d038-abed-fddb6c810000
27,27,https://www.lionsgate.com/movies/escape-plan-2,Movies,https://www.lionsgate.com/movies,2018-08-27 19:49:00,Escape Plan 2,00000165-7dca-d038-abed-fddbd9400000
28,28,https://www.lionsgate.com/movies/john-wick,Movies,https://www.lionsgate.com/movies,2018-08-14 17:00:00,John Wick,00000165-3a3d-d038-abed-fbbd85f20000
29,29,https://www.lionsgate.com/movies/john-wick-chapter-2,Movies,https://www.lionsgate.com/movies,2018-08-14 17:02:00,John Wick: Chapter 2,00000165-3a3e-d038-abed-fbbfbb7f0000
30,30,https://www.lionsgate.com/movies/red,Movies,https://www.lionsgate.com/movies,2018-09-10 19:28:00,Red,00000165-c5d0-d3cf-a7f5-fdd7dd6e0000
31,31,https://www.lionsgate.com/movies/now-you-see-me,Movies,https://www.lionsgate.com/movies,2018-09-10 19:27:00,Now You See Me ,00000165-c5cf-d6eb-a5ed-e7ff87fe0000
32,32,https://www.lionsgate.com/movies/now-you-see-me-2,Movies,https://www.lionsgate.com/movies,2018-10-02 13:00:00,Now You See Me 2,00000166-35b7-d55b-a7fe-bfb7cd7b0000
33,33,https://www.lionsgate.com/movies/red-2,Movies,https://www.lionsgate.com/movies,2018-09-10 19:29:00,Red 2,00000165-c5d1-d3cf-a7f5-fdd746d50000
34,34,https://www.lionsgate.com/movies/snitch,Movies,https://www.lionsgate.com/movies,2018-08-16 02:16:00,Snitch,00000165-4160-d038-abed-e9f1b6840000
35,35,https://www.lionsgate.com/movies/47-meters-down,Movies,https://www.lionsgate.com/movies,2018-08-14 17:54:00,47 Meters Down,00000165-3a6a-d038-abed-fbfb16520000
36,36,https://www.lionsgate.com/movies/the-spy-who-dumped-me,Movies,https://www.lionsgate.com/movies,2018-08-16 02:19:00,The Spy Who Dumped Me,00000165-4163-d038-abed-e9f3499a0000
37,37,https://www.lionsgate.com/movies/terminator-2-judgment-day,Movies,https://www.lionsgate.com/movies,2018-09-10 20:50:00,Terminator 2: Judgment Day,00000165-c61b-d3cf-a7f5-ffdf70500000
38,38,https://www.lionsgate.com/movies/the-commuter,Movies,https://www.lionsgate.com/movies,2018-08-16 02:17:00,The Commuter,00000165-4161-d038-abed-e9f161c80000
39,39,https://www.lionsgate.com/movies/the-expendables-2,Movies,https://www.lionsgate.com/movies,2018-09-10 20:54:00,The Expendables 2,00000165-c61f-d6eb-a5ed-e73f3f370000
40,40,https://www.lionsgate.com/movies/punisher-war-zone,Movies,https://www.lionsgate.com/movies,2018-08-16 02:11:00,Punisher: War Zone,00000165-415c-d038-abed-e9dd5b840000
41,41,https://www.lionsgate.com/movies/the-expendables-3,Movies,https://www.lionsgate.com/movies,2018-09-10 20:55:00,The Expendables 3,00000165-c61f-d6eb-a5ed-e73f89670000
42,42,https://www.lionsgate.com/movies/valerian-and-the-city-of-a-thousand-planets,Movies,https://www.lionsgate.com/movies,2018-08-16 02:20:00,Valerian And The City Of A Thousand Planets,00000165-4164-d038-abed-e9f508040000
43,43,https://www.lionsgate.com/movies/the-hunger-games-catching-fire,Movies,https://www.lionsgate.com/movies,2018-09-10 20:57:00,The Hunger Games: Catching Fire,00000165-c622-d3cf-a7f5-ffe731da0000
44,44,https://www.lionsgate.com/movies/the-hunger-games-mockingjay-part-1,Movies,https://www.lionsgate.com/movies,2018-09-10 20:58:00,The Hunger Games: Mockingjay Part 1,00000165-c622-d3cf-a7f5-ffe7a5790000
45,45,https://www.lionsgate.com/movies/the-hunger-games-mockingjay-part-2,Movies,https://www.lionsgate.com/movies,2018-09-10 20:58:00,The Hunger Games: Mockingjay Part 2,00000165-c623-d3cf-a7f5-ffe717420000
46,46,https://www.lionsgate.com/movies/gods-of-egypt,Movies,https://www.lionsgate.com/movies,2018-08-16 02:00:00,Gods Of Egypt,00000165-4151-d038-abed-e9d1e0ba0000
47,47,https://www.lionsgate.com/movies/hostiles,Movies,https://www.lionsgate.com/movies,2018-08-16 02:03:00,Hostiles,00000165-4154-d038-abed-e9d5b0470000
48,48,https://www.lionsgate.com/movies/sicario,Movies,https://www.lionsgate.com/movies,2018-08-16 02:15:00,Sicario,00000165-415f-d038-abed-e9dfc7870000
